dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.626454,14.458947,0.000094,0.018706,1.870567,187.056696,6.280272
0.010000,1.626342,14.458947,0.000206,0.011257,-0.744861,-261.542785,6.280384
0.010000,1.626089,14.458948,0.000459,0.025319,1.406171,215.103164,6.280637
0.010000,1.625639,14.458949,0.000909,0.044978,1.965950,55.977934,6.281087
0.010000,1.624965,14.458950,0.001583,0.067389,2.241027,27.507719,6.281761
0.010000,1.624068,14.458951,0.002480,0.089704,2.231574,-0.945330,6.282658
0.010000,1.624928,14.458951,0.003340,0.086024,-0.368005,-259.957898,0.000591
0.010000,1.628079,14.458955,0.006491,0.315052,22.902785,2327.078986,0.001930
0.010000,1.631760,14.458965,0.010173,0.368190,5.313758,-1758.902661,0.003486
0.010000,1.635975,14.458984,0.014388,0.421503,5.331315,1.755654,0.005257
0.010000,1.640726,14.459013,0.019139,0.475104,5.360144,2.882876,0.007239
0.010000,1.646018,14.459057,0.024430,0.529140,5.403533,4.338951,0.009430
0.010000,1.651852,14.459119,0.030265,0.583495,5.435524,3.199104,0.011827
0.010000,1.658234,14.459203,0.036647,0.638212,5.471753,3.622916,0.014424
0.010000,1.665166,14.459313,0.043581,0.693340,5.512802,4.104834,0.017217
0.010000,1.672655,14.459453,0.051070,0.748965,5.562480,4.967802,0.020203
0.010000,1.680703,14.459628,0.059121,0.805046,5.608116,4.563657,0.023375
0.010000,1.689317,14.459844,0.067738,0.861692,5.664598,5.648211,0.026729
0.010000,1.698503,14.460106,0.076927,0.918928,5.723617,5.901863,0.030260
0.010000,1.708266,14.460420,0.086695,0.976780,5.785189,6.157246,0.033961
0.010000,1.718609,14.460791,0.097044,1.034953,5.817277,3.208798,0.037826
0.010000,1.729541,14.461227,0.107986,1.094134,5.918135,10.085716,0.041851
0.010000,1.741066,14.461734,0.119522,1.153593,5.945870,2.773573,0.046026
0.010000,1.753192,14.462319,0.131662,1.214038,6.044494,9.862415,0.050348
0.010000,1.765925,14.462989,0.144412,1.274985,6.094722,5.022778,0.054807
0.010000,1.779269,14.463752,0.157778,1.336608,6.162280,6.755744,0.059398
0.010000,1.793233,14.464615,0.171768,1.399054,6.244548,8.226845,0.064113
0.010000,1.807822,14.465587,0.186390,1.462200,6.314648,7.009984,0.068945
0.010000,1.823044,14.466677,0.201651,1.526072,6.387175,7.252664,0.073886
0.010000,1.838905,14.467891,0.217558,1.590691,6.461952,7.477712,0.078930
0.010000,1.855411,14.469239,0.234119,1.656079,6.538799,7.684700,0.084067
0.010000,1.872568,14.470730,0.251341,1.722255,6.617531,7.873252,0.089292
0.010000,1.890384,14.472373,0.269233,1.789141,6.688650,7.111870,0.094596
0.010000,1.908864,14.474177,0.287800,1.856707,6.756593,6.794354,0.099971
0.010000,1.928015,14.476151,0.307053,1.925270,6.856270,9.967669,0.105411
0.010000,1.947842,14.478304,0.326996,1.994389,6.911889,5.561847,0.110906
0.010000,1.968353,14.480646,0.347641,2.064407,7.001859,8.997010,0.116450
0.010000,1.989552,14.483186,0.368991,2.135046,7.063828,6.196915,0.122035
0.010000,2.011446,14.485934,0.391057,2.206642,7.159654,9.582623,0.127654
0.010000,2.034040,14.488899,0.413844,2.278700,7.205805,4.615090,0.133299
0.010000,2.057338,14.492091,0.437361,2.351641,7.294080,8.827461,0.138963
0.010000,2.081348,14.495519,0.461614,2.425327,7.368565,7.448554,0.144639
0.010000,2.106074,14.499192,0.486611,2.499688,7.436164,6.759897,0.150320
0.010000,2.131519,14.503121,0.512358,2.574724,7.503560,6.739639,0.155998
0.010000,2.157690,14.507313,0.538862,2.650430,7.570637,6.707685,0.161667
0.010000,2.184590,14.511779,0.566131,2.726803,7.637282,6.664454,0.167321
0.010000,2.212223,14.516527,0.594169,2.803837,7.703386,6.610391,0.172953
0.010000,2.240595,14.521565,0.622984,2.881525,7.768845,6.545957,0.178556
0.010000,2.269708,14.526904,0.652583,2.959858,7.833297,6.445173,0.184126
0.010000,2.299564,14.532550,0.682968,3.038519,7.866029,3.273196,0.189654
0.010000,2.330169,14.538513,0.714149,3.118068,7.954948,8.891901,0.195136
0.010000,2.361526,14.544799,0.746130,3.198113,8.004524,4.957574,0.200567
0.010000,2.393637,14.551418,0.778915,3.278542,8.042894,3.837009,0.205941
0.010000,2.426505,14.558376,0.812512,3.359720,8.117726,7.483243,0.211252
0.010000,2.460133,14.565680,0.846924,3.441215,8.149537,3.181099,0.216495
0.010000,2.494524,14.573338,0.882157,3.523275,8.206009,5.647180,0.221667
0.010000,2.529680,14.581356,0.918216,3.605903,8.262794,5.678489,0.226761
0.010000,2.565603,14.589740,0.955105,3.688825,8.292175,2.938106,0.231773
0.010000,2.602295,14.598496,0.992827,3.772214,8.338971,4.679595,0.236699
0.010000,2.639759,14.607630,1.031388,3.856110,8.389522,5.055111,0.241535
0.010000,2.677996,14.617146,1.070792,3.940398,8.428801,3.927927,0.246277
0.010000,2.717010,14.627050,1.111042,4.025074,8.467620,3.881881,0.250920
0.010000,2.756800,14.637346,1.152144,4.110134,8.506003,3.838304,0.255460
0.010000,2.797371,14.648039,1.194100,4.195574,8.543975,3.797166,0.259894
0.010000,2.838723,14.659131,1.236913,4.281389,8.581559,3.758421,0.264219
0.010000,2.880858,14.670627,1.280589,4.367577,8.618779,3.722010,0.268430
0.010000,2.923780,14.682529,1.325130,4.454060,8.648255,2.947552,0.272524
0.010000,2.967488,14.694838,1.370538,4.540840,8.678074,2.981932,0.276498
0.010000,3.011986,14.707559,1.416819,4.628098,8.725779,4.770484,0.280349
0.010000,3.057277,14.720692,1.463976,4.715647,8.754846,2.906668,0.284072
0.010000,3.103361,14.734238,1.512010,4.803398,8.775188,2.034214,0.287665
0.010000,3.150244,14.748198,1.560927,4.891704,8.830515,5.532720,0.291125
0.010000,3.197925,14.762572,1.610727,4.980061,8.835745,0.522999,0.294448
0.010000,3.246410,14.777361,1.661417,5.068997,8.893567,5.782246,0.297630
0.010000,3.295700,14.792563,1.712998,5.158120,8.912296,1.872819,0.300670
0.010000,3.345799,14.808178,1.765474,5.247595,8.947547,3.525095,0.303562
0.010000,3.396711,14.824204,1.818849,5.337478,8.988298,4.075187,0.306305
0.010000,3.448440,14.840638,1.873126,5.427684,9.020580,3.228114,0.308894
0.010000,3.500989,14.857478,1.928308,5.518192,9.050773,3.019307,0.311325
0.010000,3.554364,14.874721,1.984399,5.609101,9.090939,4.016634,0.313596
0.010000,3.608569,14.892364,2.041403,5.700416,9.131470,4.053106,0.315701
0.010000,3.663610,14.910402,2.099324,5.792126,9.171060,3.959023,0.317638
0.010000,3.719493,14.928830,2.158167,5.884254,9.212816,4.175608,0.319402
0.010000,3.776223,14.947643,2.217935,5.976823,9.256831,4.401457,0.320989
0.010000,3.833807,14.966835,2.278633,6.069808,9.298517,4.168653,0.322394
0.010000,3.892253,14.986400,2.340266,6.163329,9.352091,5.357313,0.323611
0.010000,3.951568,15.006329,2.402840,6.257370,9.404100,5.200939,0.324637
0.010000,4.011761,15.026616,2.466360,6.351948,9.457816,5.371585,0.325465
0.010000,4.072840,15.047250,2.530830,6.447081,9.513274,5.545807,0.326090
0.010000,4.134816,15.068224,2.596259,6.542875,9.579432,6.615845,0.326505
0.010000,4.197699,15.089526,2.662652,6.639301,9.642639,6.320695,0.326705
0.010000,4.261500,15.111145,2.730017,6.736453,9.715184,7.254522,0.326680
0.010000,4.326232,15.133070,2.798360,6.834365,9.791121,7.593655,0.326426
0.010000,4.391907,15.155286,2.867691,6.933093,9.872807,8.168638,0.325932
0.010000,4.458539,15.177781,2.938018,7.032691,9.959815,8.700788,0.325190
0.010000,4.526144,15.200539,3.009351,7.133236,10.054545,9.472982,0.324191
0.010000,4.594737,15.223542,3.081699,7.234808,10.157186,10.264073,0.322924
0.010000,4.664337,15.246775,3.155074,7.337490,10.268167,11.098117,0.321379
0.010000,4.734962,15.270217,3.229487,7.441369,10.387957,11.978988,0.319544
0.010000,4.806632,15.293849,3.304953,7.546540,10.517069,12.911173,0.317405
0.010000,4.879369,15.317646,3.381484,7.653101,10.656067,13.899867,0.314948
0.010000,4.953195,15.341587,3.459095,7.761156,10.805578,14.951095,0.312159
0.010000,5.028138,15.365644,3.537804,7.870860,10.970357,16.477886,0.309021
0.010000,5.104223,15.389789,3.617629,7.982475,11.161517,19.115966,0.305516
0.010000,5.181479,15.413992,3.698587,8.095849,11.337368,17.585101,0.301625
0.010000,5.259939,15.438221,3.780703,8.211588,11.573922,23.655421,0.297325
0.010000,5.339636,15.462437,3.863998,8.329490,11.790172,21.625022,0.292594
0.010000,5.420606,15.486602,3.948497,8.449948,12.045829,25.565633,0.287406
0.010000,5.502890,15.510674,4.034230,8.573235,12.328709,28.288005,0.281734
0.010000,5.586530,15.534605,4.121226,8.699608,12.637235,30.852610,0.275546
0.010000,5.671572,15.558344,4.209519,8.829341,12.973391,33.615596,0.268809
0.010000,5.758066,15.581835,4.299147,8.962735,13.339380,36.598912,0.261487
0.010000,5.846066,15.605015,4.390148,9.100112,13.737653,39.827323,0.253539
0.010000,5.935628,15.627815,4.482566,9.241866,14.175378,43.772451,0.244921
0.010000,6.026819,15.650160,4.576455,9.388855,14.698934,52.355681,0.235583
0.010000,6.119702,15.671965,4.671863,9.540858,15.200363,50.142878,0.225471
0.010000,6.214352,15.693136,4.768853,9.698914,15.805574,60.521122,0.214527
0.010000,6.310850,15.713569,4.867490,9.863736,16.482208,67.663321,0.202684
0.010000,6.409278,15.733147,4.967846,10.035560,17.182391,70.018352,0.189870
0.010000,6.509726,15.751738,5.070000,10.215464,17.990401,80.800966,0.176005
0.010000,6.612293,15.769194,5.174042,10.404176,18.871136,88.073565,0.161002
0.010000,6.717077,15.785349,5.280064,10.602207,19.803173,93.203713,0.144765
0.010000,6.824191,15.800013,5.388176,10.811244,20.903706,110.053292,0.127188
0.010000,6.933741,15.812975,5.498491,11.031416,22.017135,111.342886,0.108156
0.010000,7.045843,15.823990,5.611133,11.264235,23.281968,126.483245,0.087543
0.010000,7.160612,15.832786,5.726239,11.510556,24.632044,135.007662,0.065216
0.010000,7.278038,15.839045,5.843831,11.759282,24.872589,24.054513,0.041054
0.010000,7.397976,15.842420,5.963817,11.998570,23.928786,-94.380374,0.014968
0.010000,7.520248,15.842548,6.086089,12.227210,22.864058,-106.472750,6.270060
0.010000,7.644573,15.839058,6.210462,12.437327,21.011646,-185.241248,6.239913
0.010000,7.770609,15.831582,6.336720,12.625794,18.846725,-216.492025,6.207694
0.010000,7.898016,15.819763,6.464674,12.795339,16.954526,-189.219933,6.173407
0.010000,8.026376,15.803269,6.594090,12.941623,14.628379,-232.614728,6.137097
0.010000,8.155260,15.781796,6.724750,13.066021,12.439806,-218.857279,6.098841
0.010000,8.284287,15.755067,6.856517,13.176650,11.062875,-137.693093,6.058730
0.010000,8.413068,15.722832,6.989271,13.275424,9.877392,-118.548341,6.016883
0.010000,8.541142,15.684905,7.122843,13.357170,8.174606,-170.278576,5.973469
0.010000,8.667983,15.641174,7.257010,13.416770,5.959997,-221.460910,5.928710
0.010000,8.793015,15.591623,7.391504,13.449331,3.256101,-270.389621,5.882876
0.010000,8.915637,15.536340,7.526011,13.450689,0.135851,-312.024988,5.836280
0.010000,9.035241,15.475528,7.660187,13.417659,-3.303005,-343.885625,5.789266
0.010000,9.151253,15.409498,7.793674,13.348701,-6.895852,-359.284648,5.742194
0.010000,9.263151,15.338659,7.926110,13.243593,-10.510786,-361.493428,5.695424
0.010000,9.370496,15.263499,8.057152,13.104209,-13.938407,-342.762040,5.649300
0.010000,9.472945,15.184560,8.186486,12.933343,-17.086576,-314.816985,5.604138
0.010000,9.570262,15.102413,8.313839,12.735301,-19.804228,-271.765139,5.560208
0.010000,9.662321,15.017630,8.438990,12.515177,-22.012415,-220.818732,5.517734
0.010000,9.749086,14.930770,8.561762,12.277192,-23.798482,-178.606679,5.476890
0.010000,9.830620,14.842344,8.682040,12.027768,-24.942412,-114.392986,5.437793
0.010000,9.907050,14.752824,8.799750,11.770971,-25.679709,-73.729678,5.400518
0.010000,9.978563,14.662620,8.914862,11.511252,-25.971823,-29.211469,5.365095
0.010000,10.045374,14.572100,9.027367,11.250520,-26.073264,-10.144025,5.331525
0.010000,10.107740,14.481558,9.137310,10.994310,-25.620950,45.231395,5.299774
0.010000,10.165920,14.391249,9.244737,10.742657,-25.165308,45.564205,5.269792
0.010000,10.220178,14.301382,9.349713,10.497631,-24.502644,66.266337,5.241511
0.010000,10.270780,14.212118,9.452322,10.260908,-23.672255,83.038964,5.214853
0.010000,10.317974,14.123600,9.552636,10.031334,-22.957401,71.485311,5.189738
0.010000,10.362011,14.035921,9.650752,9.811617,-21.971674,98.572789,5.166075
0.010000,10.403115,13.949167,9.746752,9.599965,-21.165211,80.646277,5.143781
0.010000,10.441502,13.863397,9.840719,9.396769,-20.319601,84.560968,5.122769
0.010000,10.477372,13.778653,9.932742,9.202294,-19.447480,87.212122,5.102956
0.010000,10.510909,13.694969,10.022896,9.015410,-18.688472,75.900815,5.084264
0.010000,10.542285,13.612365,10.111259,8.836218,-17.919215,76.925694,5.066616
0.010000,10.571653,13.530860,10.197893,8.663438,-17.277989,64.122557,5.049944
0.010000,10.599160,13.450455,10.282874,8.498073,-16.536474,74.151513,5.034180
0.010000,10.624938,13.371151,10.366261,8.338770,-15.930316,60.615785,5.019261
0.010000,10.649110,13.292947,10.448116,8.185459,-15.331105,59.921170,5.005132
0.010000,10.671781,13.215853,10.528475,8.035890,-14.956885,37.421923,4.991740
0.010000,10.693060,13.139841,10.607408,7.893357,-14.253297,70.358806,4.979033
0.010000,10.713037,13.064921,10.684946,7.753794,-13.956256,29.704127,4.966968
0.010000,10.731801,12.991070,10.761144,7.619769,-13.402501,55.375503,4.955501
0.010000,10.749430,12.918284,10.836035,7.489053,-13.071618,33.088318,4.944594
0.010000,10.765997,12.846557,10.909650,7.361511,-12.754211,31.740642,4.934211
0.010000,10.781568,12.775877,10.982024,7.237454,-12.405703,34.850874,4.924319
0.010000,10.796207,12.706236,11.053187,7.116320,-12.113384,29.231841,4.914887
0.010000,10.809972,12.637619,11.123172,6.998430,-11.789038,32.434595,4.905888
0.010000,10.822917,12.570010,11.192008,6.883667,-11.476294,31.274435,4.897293
0.010000,10.835090,12.503412,11.259710,6.770214,-11.345287,13.100643,4.889080
0.010000,10.846537,12.437805,11.326308,6.659739,-11.047503,29.778464,4.881226
0.010000,10.857301,12.373189,11.391815,6.550705,-10.903386,14.411636,4.873710
0.010000,10.867422,12.309541,11.456262,6.444736,-10.596918,30.646872,4.866513
0.010000,10.876937,12.246866,11.519656,6.339335,-10.540067,5.685060,4.859618
0.010000,10.885880,12.185154,11.582012,6.235678,-10.365741,17.432656,4.853008
0.010000,10.894284,12.124391,11.643354,6.134137,-10.154046,21.169491,4.846667
0.010000,10.902179,12.064570,11.703693,6.033924,-10.021317,13.272867,4.840581
0.010000,10.909594,12.005685,11.763044,5.935056,-9.886814,13.450318,4.834737
0.010000,10.916555,11.947726,11.821419,5.837551,-9.750498,13.631617,4.829122
0.010000,10.923086,11.890696,11.878822,5.740253,-9.729765,2.073245,4.823725
0.010000,10.929211,11.834583,11.935268,5.644610,-9.564338,16.542723,4.818536
0.010000,10.934954,11.779373,11.990776,5.550814,-9.379580,18.475789,4.813542
0.010000,10.940334,11.725070,12.045345,5.456889,-9.392497,-1.291660,4.808737
0.010000,10.945370,11.671666,12.098985,5.364047,-9.284183,10.831365,4.804111
0.010000,10.950082,11.619152,12.151710,5.272493,-9.155448,12.873464,4.799655
0.010000,10.954486,11.567526,12.203524,5.181337,-9.115634,3.981473,4.795361
0.010000,10.958600,11.516788,12.254428,5.090489,-9.084733,3.090076,4.791224
0.010000,10.962439,11.466920,12.304444,5.001555,-8.893424,19.130895,4.787235
0.010000,10.966018,11.417926,12.353568,4.912438,-8.911710,-1.828560,4.783388
0.010000,10.969350,11.369810,12.401800,4.823166,-8.927169,-1.545896,4.779678
0.010000,10.972449,11.322556,12.449156,4.735564,-8.760206,16.696270,4.776099
0.010000,10.975328,11.276162,12.495639,4.648338,-8.722620,3.758621,4.772645
0.010000,10.977999,11.230625,12.541254,4.561518,-8.681957,4.066305,4.769311
0.010000,10.980473,11.185942,12.586006,4.475136,-8.638285,4.367136,4.766093
0.010000,10.982761,11.142109,12.629898,4.389219,-8.591682,4.660286,4.762986
0.010000,10.984873,11.099123,12.672936,4.303796,-8.542232,4.945053,4.759987
0.010000,10.986819,11.056979,12.715125,4.218896,-8.490023,5.220844,4.757090
0.010000,10.988608,11.015679,12.756464,4.133892,-8.500421,-1.039793,4.754293
0.010000,10.990250,10.975224,12.796952,4.048795,-8.509660,-0.923825,4.751592
0.010000,10.991752,10.935600,12.836604,3.965264,-8.353154,15.650526,4.748983
0.010000,10.993123,10.896801,12.875428,3.882360,-8.290386,6.276816,4.746463
0.010000,10.994371,10.858848,12.913401,3.797273,-8.508688,-21.830161,4.744030
0.010000,10.995502,10.821714,12.950552,3.715171,-8.210229,29.845876,4.741680
0.010000,10.996525,10.785409,12.986871,3.631921,-8.324936,-11.470698,4.739411
0.010000,10.997445,10.749927,13.022366,3.549420,-8.250116,7.481964,4.737220
0.010000,10.998269,10.715268,13.057034,3.466815,-8.260569,-1.045288,4.735105
0.010000,10.999003,10.681423,13.090887,3.385317,-8.149750,11.081902,4.733064
0.010000,10.999653,10.648408,13.123909,3.302175,-8.314261,-16.451064,4.731094
0.010000,11.000225,10.616199,13.156123,3.221413,-8.076149,23.811174,4.729193
0.010000,11.000724,10.584804,13.187521,3.139858,-8.155478,-7.932866,4.727359
0.010000,11.001154,10.554232,13.218097,3.057563,-8.229551,-7.407359,4.725592
0.010000,11.001522,10.524465,13.247866,2.976861,-8.070190,15.936145,4.723888
0.010000,11.001831,10.495506,13.276827,2.896134,-8.072702,-0.251191,4.722246
0.010000,11.002086,10.467353,13.304981,2.815407,-8.072661,0.004111,4.720664
0.010000,11.002292,10.440006,13.332328,2.734706,-8.070102,0.255909,4.719141
0.010000,11.002452,10.413471,13.358864,2.653567,-8.113927,-4.382545,4.717676
0.010000,11.002569,10.387740,13.384596,2.573190,-8.037738,7.618877,4.716267
0.010000,11.002649,10.362810,13.409526,2.492997,-8.019281,1.845727,4.714913
0.010000,11.002694,10.338680,13.433655,2.412925,-8.007175,1.210570,4.713613
0.010000,11.002708,10.315351,13.456984,2.332948,-7.997676,0.949914,4.712365
0.010000,11.002694,10.292827,13.479508,2.252399,-8.054885,-5.720865,4.711169
0.010000,11.002655,10.271102,13.501234,2.172550,-7.984955,6.992971,4.710023
0.010000,11.002594,10.250173,13.522163,2.092913,-7.963691,2.126373,4.708927
0.010000,11.002514,10.230038,13.542298,2.013510,-7.940286,2.340527,4.707878
0.010000,11.002417,10.210694,13.561642,1.934362,-7.914786,2.550051,4.706878
0.010000,11.002306,10.192150,13.580186,1.854449,-7.991353,-7.656747,4.705924
0.010000,11.002183,10.174406,13.597931,1.774438,-8.001031,-0.967826,4.705016
0.010000,11.002051,10.157447,13.614890,1.695911,-7.852703,14.832804,4.704153
0.010000,11.001911,10.141282,13.631056,1.616637,-7.927439,-7.473573,4.703335
0.010000,11.001766,10.125916,13.646422,1.536613,-8.002351,-7.491174,4.702561
0.010000,11.001617,10.111328,13.661011,1.458895,-7.771888,23.046268,4.701829
0.010000,11.001467,10.097548,13.674792,1.378075,-8.081961,-31.007311,4.701141
0.010000,11.001317,10.084543,13.687798,1.300603,-7.747223,33.473791,4.700495
0.010000,11.001168,10.072342,13.700000,1.220204,-8.039904,-29.268081,4.699890
0.010000,11.001022,10.060913,13.711430,1.142990,-7.721379,31.852462,4.699326
0.010000,11.000880,10.050293,13.722051,1.062106,-8.088402,-36.702281,4.698803
0.010000,11.000744,10.040448,13.731897,0.984553,-7.755275,33.312716,4.698321
0.010000,11.000615,10.031393,13.740953,0.905613,-7.894028,-13.875292,4.697878
0.010000,11.000493,10.023133,13.749214,0.826118,-7.949505,-5.547694,4.697475
0.010000,11.000380,10.015652,13.756695,0.748143,-7.797483,15.202213,4.697111
0.010000,11.000277,10.008954,13.763394,0.669925,-7.821772,-2.428960,4.696786
0.010000,11.000184,10.003057,13.769292,0.589761,-8.016438,-19.466597,4.696500
0.010000,11.000102,9.997942,13.774407,0.511525,-7.823573,19.286552,4.696252
0.010000,11.000032,9.993611,13.778739,0.433160,-7.836515,-1.294229,4.696043
0.010000,10.999973,9.990065,13.782286,0.354685,-7.847478,-1.096254,4.695872
0.010000,10.999928,9.987304,13.785047,0.276121,-7.856456,-0.897852,4.695739
0.010000,10.999895,9.985329,13.787022,0.197486,-7.863447,-0.699100,4.695643
0.010000,10.999874,9.984093,13.788258,0.123631,-7.385487,47.796008,4.695584
0.010000,10.999863,9.983449,13.788902,0.064418,-5.921332,146.415566,4.695553
0.010000,10.999859,9.983200,13.789151,0.024875,-3.954306,196.702547,4.695541
0.010000,10.999858,9.983150,13.789201,0.005011,-1.986359,196.794692,4.695539
0.010000,10.999858,9.983150,13.789201,0.000000,-0.501130,148.522934,4.695539
